batch,dayOrder,hour,subjectCode
1,1,1,A
1,1,2,A / X
1,1,3,F / X
1,1,4,F
1,1,5,G
1,1,6,P6
1,1,7,P7
1,1,8,P8
1,1,9,P9
1,1,10,P10
1,1,11,L11
1,1,12,L12
1,2,1,P11
1,2,2,P12/X
1,2,3,P13/X
1,2,4,P14
1,2,5,P15
1,2,6,B
1,2,7,B
1,2,8,G
1,2,9,G
1,2,10,A
1,2,11,L21
1,2,12,L22
1,3,1,C
1,3,2,C / X
1,3,3,A / X
1,3,4,D
1,3,5,B
1,3,6,P26
1,3,7,P27
1,3,8,P28
1,3,9,P29
1,3,10,P30
1,3,11,L31
1,3,12,L32
1,4,1,P31
1,4,2,P32/X
1,4,3,P33/X
1,4,4,P34
1,4,5,P35
1,4,6,D
1,4,7,D
1,4,8,B
1,4,9,E
1,4,10,C
1,4,11,L41
1,4,12,L42
1,5,1,E
1,5,2,E / X
1,5,3,C / X
1,5,4,F
1,5,5,D
1,5,6,P46
1,5,7,P47
1,5,8,P48
1,5,9,P49
1,5,10,P50
1,5,11,L51
1,5,12,L52
2,1,1,P1
2,1,2,P2/X
2,1,3,P3/X
2,1,4,P4
2,1,5,P5
2,1,6,A
2,1,7,A
2,1,8,F
2,1,9,F
2,1,10,G
2,1,11,L11
2,1,12,L12
2,2,1,B
2,2,2,B / X
2,2,3,G / X
2,2,4,G
2,2,5,A
2,2,6,P16
2,2,7,P17
2,2,8,P18
2,2,9,P19
2,2,10,P20
2,2,11,L21
2,2,12,L22
2,3,1,P21
2,3,2,P22/X
2,3,3,P23/X
2,3,4,P24
2,3,5,P25
2,3,6,C
2,3,7,C
2,3,8,A
2,3,9,D
2,3,10,B
2,3,11,L31
2,3,12,L32
2,4,1,D
2,4,2,D / X
2,4,3,B / X
2,4,4,E
2,4,5,C
2,4,6,P36
2,4,7,P37
2,4,8,P38
2,4,9,P39
2,4,10,P40
2,4,11,L41
2,4,12,L42
2,5,1,P41
2,5,2,P42/X
2,5,3,P43/X
2,5,4,P44
2,5,5,P45
2,5,6,E
2,5,7,E
2,5,8,C
2,5,9,F
2,5,10,D
2,5,11,L51
2,5,12,L52
